laura dern
matt dillon
richard dreyfuss
clint eastwood
mia farrow
bridget fonda
peter fonda
morgan freeman
teri garr
whoopi goldberg
jeff goldblum
woody harrelson
richard harris
goldie hawn
gregory hines
dustin hoffman
angelina jolie
michael keaton
martin landau
jessica lange
shirley maclaine
marsha mason
marlee matlin
mike myers
edward norton
edward james olmos
miss piggy
lynn redgrave
julia roberts
gena rowlands
kevin spacey
sylvester stallone
rod steiger
sharon stone
billy bob thornton
lily tomlin
emily watson
james woods 
humphrey bogart
cary grant
james stewart
marlon brando
fred astaire
henry fonda
clark gable
james cagney
spencer tracy
charlie chaplin
gary cooper
gregory peck
john wayne
laurence olivier
gene kelly
orson welles
kirk douglas
james dean
burt lancaster
the marx brothers 
chico marx
groucho marx
harpo marx
buster keaton
sidney poitier
robert mitchum
edward g. robinson
william holden
